P_Id,SPIN Score,PBS,ATS1_1,ATS1_2,ATS1_3,ATS1_4,ATS1_5,AS1_1,AS1_2,AS1_3,AS1_4,AS1_5,RS1_1,RS1_2,RS1_3,RS1_4,RS1_5,ATS2_1,ATS2_2,ATS2_3,ATS2_4,ATS2_5,AS2_1,AS2_2,AS2_3,AS2_4,AS2_5,RS2_1,RS2_2,RS2_3,RS2_4,RS2_5,ATS3_1,ATS3_2,ATS3_3,ATS3_4,ATS3_5,AS3_1,AS3_2,AS3_3,AS3_4,AS3_5,RS3_1,RS3_2,RS3_3,RS3_4,RS3_5,PS
101,17,5,3,3,3,3,4,2,4,1,1,1,1,4,1,1,1,5,5,1,1,1,1,5,1,4,1,1,4,1,1,1,5,5,1,1,1,1,5,1,4,1,1,4,1,1,1,5
102,44,2,1,1,5,3,4,2,4,3,5,4,3,3,1,4,4,2,3,4,4,2,1,4,2,4,3,1,5,1,2,3,2,2,3,4,3,5,2,4,5,4,5,2,4,5,4,4
103,10,3,3,3,3,3,3,1,4,1,3,3,1,4,3,3,1,3,4,3,1,3,1,3,2,2,2,2,3,1,3,3,3,4,3,3,3,2,4,3,3,3,1,3,3,3,2,4
104,10,2,1,4,1,2,1,3,4,1,1,1,1,4,1,1,1,4,4,2,1,1,1,5,1,1,1,1,4,1,1,1,2,2,1,1,1,1,5,1,2,1,1,4,1,1,1,5
105,26,3,4,2,3,4,3,2,4,3,4,4,4,4,3,2,4,3,2,3,4,4,3,4,3,4,3,3,4,3,3,4,2,2,4,4,4,4,4,4,4,3,3,4,3,3,4,4
106,24,4,4,4,1,4,4,4,3,4,4,4,1,4,1,1,3,5,5,1,1,1,1,5,1,1,4,1,5,4,4,1,4,4,4,4,1,4,4,1,4,4,1,5,4,4,1,4
107,43,2,1,2,4,4,5,5,1,4,5,5,4,1,5,4,3,3,2,4,3,4,3,3,2,4,4,3,4,4,4,1,3,2,4,4,4,4,3,2,4,4,3,4,4,4,2,4
108,34,3,3,3,2,2,2,2,3,2,3,2,2,3,2,2,2,3,3,2,2,2,2,4,2,1,1,2,4,1,2,3,3,2,3,2,2,3,4,2,4,2,3,3,2,3,4,3
109,9,3,2,2,3,2,1,3,4,1,3,1,2,3,3,3,2,4,3,3,3,1,3,3,3,3,3,1,4,2,3,1,3,2,3,2,1,1,2,2,2,4,1,2,4,4,3,3
110,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
